Team1Agent1,Team1Agent2,Team1Agent3,Team1Agent4,Team1Agent5,Team2Agent1,Team2Agent2,Team2Agent3,Team2Agent4,Team2Agent5,Map,Victory
viper,raze,omen,kayo,sova,brimstone,raze,sage,viper,sova,Bind,Team 1
breach,sage,raze,cypher,omen,omen,cypher,raze,breach,sage,Split,Team 1
brimstone,raze,viper,breach,sova,raze,skye,brimstone,viper,sage,Bind,Team 1
killjoy,skye,breach,viper,brimstone,astra,raze,killjoy,breach,sage,Haven,Team 1
raze,brimstone,sage,skye,viper,raze,breach,sage,sova,brimstone,Bind,Team 1
jett,killjoy,sova,omen,sage,skye,killjoy,sova,astra,raze,Ascent,Team 2
sage,viper,raze,skye,brimstone,omen,sova,raze,viper,skye,Bind,Team 1
jett,killjoy,sova,viper,sage,viper,skye,jett,sage,sova,Icebox,Team 2
viper,sage,jett,sova,killjoy,sova,reyna,viper,sage,jett,Icebox,Team 2
jett,astra,killjoy,sage,sova,astra,reyna,sova,killjoy,jett,Haven,Team 2
jett,sova,killjoy,phoenix,omen,jett,phoenix,sova,cypher,astra,Haven,Team 2
killjoy,raze,sage,astra,breach,raze,cypher,sage,jett,omen,Split,Team 2
jett,sova,killjoy,kayo,astra,sova,jett,killjoy,astra,breach,Ascent,Team 1
skye,jett,sova,astra,killjoy,omen,killjoy,sova,skye,jett,Haven,Team 1
jett,sage,viper,sova,killjoy,reyna,sova,viper,jett,sage,Icebox,Team 1
jett,viper,sova,brimstone,breach,raze,killjoy,brimstone,jett,sova,Bind,Team 2
jett,killjoy,omen,breach,raze,jett,sage,raze,killjoy,omen,Split,Team 1
sova,jett,astra,cypher,skye,cypher,astra,jett,sova,skye,Haven,Team 1
jett,sova,sage,viper,killjoy,viper,sage,jett,sova,killjoy,Icebox,Team 2
jett,omen,sage,killjoy,sova,omen,jett,phoenix,cypher,sova,Ascent,Team 1
raze,cypher,omen,skye,sova,sova,yoru,raze,cypher,brimstone,Bind,Team 1
reyna,sova,viper,raze,omen,sova,astra,raze,sage,skye,Bind,Team 1
sova,reyna,jett,viper,sage,reyna,jett,sova,viper,sage,Icebox,Team 2
reyna,astra,cypher,sova,jett,skye,astra,sova,killjoy,raze,Ascent,Team 2
jett,killjoy,astra,skye,sage,skye,killjoy,sova,jett,astra,Haven,Team 2
jett,sage,skye,astra,breach,breach,astra,jett,sage,killjoy,Split,Team 1
jett,yoru,viper,skye,cypher,jett,killjoy,viper,skye,sova,Breeze,Team 2
jett,sova,killjoy,sage,viper,sage,jett,viper,sova,killjoy,Icebox,Team 2
jett,astra,sova,raze,killjoy,skye,sova,cypher,jett,astra,Haven,Team 1
reyna,raze,skye,viper,brimstone,sova,breach,skye,astra,raze,Bind,Team 1
sage,skye,killjoy,viper,astra,jett,raze,breach,killjoy,omen,Split,Team 2
jett,astra,sova,raze,cypher,jett,sova,reyna,omen,killjoy,Haven,Team 2
skye,raze,sage,astra,killjoy,skye,omen,raze,killjoy,sage,Split,Team 2
skye,kayo,raze,viper,brimstone,phoenix,raze,astra,sova,viper,Bind,Team 2
jett,killjoy,astra,sova,skye,raze,jett,astra,killjoy,sova,Ascent,Team 1
cypher,skye,sage,jett,viper,viper,jett,cypher,skye,sova,Breeze,Team 1
jett,cypher,omen,phoenix,sova,sova,jett,omen,viper,cypher,Haven,Team 1
jett,viper,sova,killjoy,sage,sova,sage,jett,viper,raze,Icebox,Team 1
jett,astra,breach,killjoy,skye,phoenix,astra,sova,killjoy,jett,Haven,Team 2
sova,jett,skye,viper,sage,sova,jett,sage,cypher,viper,Breeze,Team 2
viper,reyna,jett,sova,sage,viper,killjoy,jett,sage,sova,Icebox,Team 2
jett,viper,skye,sova,killjoy,jett,viper,skye,cypher,sova,Breeze,Team 1
jett,sova,brimstone,raze,viper,killjoy,raze,sova,skye,brimstone,Bind,Team 1
jett,sova,cypher,skye,viper,reyna,jett,sova,viper,skye,Breeze,Team 1
jett,skye,astra,sova,cypher,phoenix,jett,sova,cypher,astra,Haven,Team 1
kayo,astra,skye,killjoy,sova,jett,skye,killjoy,astra,sova,Ascent,Team 1
viper,jett,sova,killjoy,skye,skye,viper,cypher,sova,jett,Breeze,Team 1
astra,reyna,raze,killjoy,sage,sage,jett,omen,kayo,cypher,Split,Team 1
raze,sova,astra,reyna,killjoy,jett,astra,kayo,raze,sova,Bind,Team 1
raze,skye,killjoy,sage,omen,killjoy,astra,kayo,raze,sage,Split,Team 1
viper,raze,astra,skye,sova,sova,sage,astra,jett,skye,Bind,Team 1
jett,astra,killjoy,breach,sage,astra,raze,sage,killjoy,kayo,Split,Team 2
sova,jett,viper,cypher,skye,jett,viper,killjoy,skye,sova,Breeze,Team 1
sova,jett,phoenix,killjoy,omen,reyna,killjoy,jett,sova,astra,Haven,Team 1
raze,kayo,brimstone,sova,sage,raze,sage,viper,sova,brimstone,Bind,Team 2
reyna,sova,viper,jett,sage,raze,jett,viper,sova,sage,Icebox,Team 2
killjoy,viper,jett,sage,sova,jett,sage,kayo,viper,sova,Icebox,Team 2
raze,jett,astra,skye,breach,sova,breach,jett,raze,brimstone,Bind,Team 1
astra,jett,sova,killjoy,breach,jett,sova,skye,astra,killjoy,Ascent,Team 2
killjoy,jett,kayo,omen,skye,jett,killjoy,astra,sova,breach,Haven,Team 1
sage,raze,astra,killjoy,viper,raze,astra,killjoy,sage,kayo,Split,Team 2
reyna,sova,jett,viper,killjoy,sage,raze,jett,viper,sova,Icebox,Team 1
reyna,jett,skye,astra,sova,sova,jett,skye,viper,brimstone,Bind,Team 1
raze,jett,sova,viper,omen,raze,sova,omen,skye,cypher,Bind,Team 2
jett,sova,sage,killjoy,viper,jett,reyna,viper,sova,sage,Icebox,Team 1
jett,sage,sova,viper,killjoy,jett,reyna,viper,sova,sage,Icebox,Team 2
brimstone,skye,sova,raze,sage,sova,raze,reyna,brimstone,sage,Bind,Team 2
jett,killjoy,viper,sage,sova,sage,jett,omen,viper,sova,Icebox,Team 1
viper,jett,skye,astra,killjoy,sage,killjoy,raze,kayo,astra,Split,Team 2
skye,astra,jett,killjoy,sova,omen,killjoy,skye,jett,sova,Ascent,Team 1
jett,viper,reyna,sova,sage,reyna,sova,jett,viper,sage,Icebox,Team 1
sova,kayo,jett,omen,killjoy,kayo,jett,skye,astra,killjoy,Haven,Team 2
jett,skye,viper,omen,sage,sage,cypher,jett,sova,viper,Breeze,Team 1
sova,jett,sage,viper,raze,reyna,jett,sova,sage,viper,Icebox,Team 2
jett,raze,killjoy,sage,omen,cypher,raze,skye,sage,omen,Split,Team 2
raze,sage,skye,viper,brimstone,sova,jett,breach,raze,omen,Bind,Team 2
sage,killjoy,astra,breach,jett,jett,skye,killjoy,sage,omen,Split,Team 1
sova,jett,astra,breach,killjoy,astra,jett,raze,killjoy,sova,Ascent,Team 2
reyna,raze,viper,omen,sova,raze,brimstone,viper,sage,skye,Bind,Team 2
skye,viper,jett,sova,sage,viper,jett,cypher,sage,skye,Breeze,Team 1
jett,phoenix,sova,cypher,astra,sova,jett,reyna,cypher,omen,Haven,Team 1
jett,sova,sage,viper,killjoy,jett,sova,killjoy,viper,sage,Icebox,Team 1
jett,sova,killjoy,breach,astra,sova,killjoy,astra,skye,raze,Ascent,Team 1
jett,sova,omen,killjoy,skye,sova,killjoy,raze,astra,skye,Haven,Team 1
raze,viper,astra,sova,kayo,reyna,sova,raze,omen,viper,Bind,Team 1
raze,killjoy,sova,jett,astra,jett,reyna,sova,cypher,omen,Ascent,Team 1
raze,astra,breach,jett,cypher,sage,jett,viper,skye,astra,Split,Team 1
sage,sova,jett,viper,killjoy,sova,viper,jett,reyna,sage,Icebox,Team 1
jett,breach,cypher,skye,omen,skye,jett,breach,killjoy,omen,Haven,Team 2
omen,jett,raze,breach,sova,viper,skye,astra,sova,breach,Bind,Team 1
skye,killjoy,sage,jett,omen,kayo,skye,omen,cypher,breach,Split,Team 1
phoenix,sova,killjoy,jett,astra,jett,astra,breach,skye,sova,Ascent,Team 1
killjoy,jett,sova,phoenix,astra,astra,jett,breach,skye,sova,Haven,Team 1
viper,reyna,sova,jett,sage,jett,viper,reyna,sova,sage,Icebox,Team 1
raze,astra,killjoy,sova,skye,cypher,omen,jett,sova,reyna,Ascent,Team 1
astra,skye,jett,sova,cypher,raze,jett,cypher,sova,astra,Haven,Team 2
sova,astra,skye,kayo,killjoy,jett,viper,astra,killjoy,sova,Ascent,Team 1
brimstone,jett,sova,viper,skye,brimstone,viper,sage,raze,skye,Bind,Team 1
jett,killjoy,sova,omen,skye,jett,killjoy,sage,skye,omen,Haven,Team 2
sage,sova,jett,viper,killjoy,sova,sage,jett,killjoy,viper,Icebox,Team 2
jett,killjoy,astra,kayo,sova,cypher,phoenix,jett,brimstone,sova,Ascent,Team 1
reyna,raze,skye,viper,astra,viper,jett,phoenix,sova,brimstone,Bind,Team 1
sova,raze,astra,killjoy,skye,kayo,jett,sova,astra,cypher,Haven,Team 1
kayo,viper,brimstone,raze,skye,raze,jett,omen,sova,kayo,Bind,Team 1
jett,omen,sova,raze,breach,kayo,viper,astra,sova,raze,Bind,Team 2
jett,kayo,cypher,sova,omen,raze,omen,cypher,sova,jett,Haven,Team 1
reyna,sova,jett,sage,viper,jett,killjoy,sage,viper,sova,Icebox,Team 2
phoenix,jett,killjoy,omen,sova,killjoy,jett,astra,sova,skye,Ascent,Team 1
jett,raze,viper,sage,sova,reyna,viper,omen,sage,sova,Icebox,Team 1
raze,jett,skye,astra,breach,raze,sova,viper,astra,skye,Bind,Team 1
skye,viper,jett,sova,cypher,viper,skye,jett,sova,cypher,Breeze,Team 1
jett,reyna,sage,sova,viper,jett,killjoy,viper,sova,sage,Icebox,Team 2
killjoy,reyna,sova,omen,jett,omen,cypher,skye,sage,sova,Ascent,Team 2
reyna,jett,skye,sova,viper,viper,cypher,skye,sova,jett,Breeze,Team 1
jett,sova,reyna,killjoy,viper,jett,sova,viper,killjoy,sage,Icebox,Team 1
raze,killjoy,sage,kayo,astra,jett,raze,killjoy,skye,omen,Split,Team 2
jett,reyna,killjoy,sova,astra,phoenix,jett,cypher,omen,sova,Haven,Team 1
jett,sova,skye,killjoy,astra,killjoy,kayo,sova,raze,omen,Ascent,Team 1
jett,sova,reyna,viper,sage,jett,viper,killjoy,sova,sage,Icebox,Team 2
sova,phoenix,jett,cypher,omen,killjoy,jett,sova,skye,omen,Haven,Team 1
brimstone,raze,skye,viper,sage,sova,cypher,yoru,raze,omen,Bind,Team 2
raze,jett,astra,killjoy,sage,jett,breach,astra,killjoy,sage,Split,Team 1
reyna,viper,jett,sage,sova,jett,viper,raze,sage,sova,Icebox,Team 1
sova,killjoy,reyna,omen,jett,reyna,jett,cypher,sova,omen,Haven,Team 1
jett,killjoy,omen,raze,sage,reyna,raze,killjoy,omen,sage,Split,Team 1
jett,viper,killjoy,sage,sova,reyna,jett,sova,viper,sage,Icebox,Team 1
skye,jett,sova,killjoy,astra,jett,sova,killjoy,skye,astra,Ascent,Team 1
jett,sova,viper,killjoy,sage,jett,sova,reyna,sage,viper,Icebox,Team 2
astra,viper,sage,skye,kayo,jett,omen,sova,viper,cypher,Bind,Team 2
sage,viper,sova,killjoy,astra,jett,killjoy,sova,kayo,omen,Ascent,Team 2
raze,astra,skye,viper,sova,raze,jett,skye,viper,astra,Bind,Team 1
reyna,sage,cypher,raze,astra,jett,astra,skye,killjoy,raze,Split,Team 1
cypher,jett,sage,viper,skye,jett,reyna,skye,sova,viper,Breeze,Team 2
jett,viper,killjoy,sova,sage,jett,reyna,sova,viper,sage,Icebox,Team 1
raze,sage,brimstone,viper,skye,jett,brimstone,reyna,viper,sova,Bind,Team 1
reyna,raze,sova,viper,omen,sova,raze,viper,skye,omen,Bind,Team 1
phoenix,jett,astra,cypher,sova,cypher,omen,sova,jett,skye,Haven,Team 1
jett,sova,cypher,omen,reyna,skye,astra,breach,killjoy,jett,Haven,Team 2
jett,killjoy,phoenix,omen,sova,jett,sova,skye,astra,killjoy,Ascent,Team 2
jett,skye,sova,cypher,viper,reyna,sova,jett,viper,astra,Breeze,Team 1
raze,sage,killjoy,kayo,brimstone,raze,kayo,killjoy,sage,brimstone,Split,Team 1
sova,sage,jett,viper,killjoy,jett,killjoy,sova,viper,sage,Icebox,Team 1
jett,reyna,sova,omen,cypher,jett,killjoy,skye,astra,sova,Ascent,Team 2
reyna,omen,sova,cypher,jett,skye,astra,jett,sova,killjoy,Haven,Team 1
jett,sova,reyna,sage,viper,jett,viper,sage,reyna,sova,Icebox,Team 1
cypher,jett,astra,kayo,breach,jett,omen,skye,killjoy,sage,Split,Team 1
jett,killjoy,skye,sova,astra,skye,astra,killjoy,sova,jett,Ascent,Team 2
raze,sova,brimstone,jett,breach,sova,jett,skye,kayo,brimstone,Bind,Team 1
sage,raze,killjoy,kayo,astra,jett,omen,cypher,breach,sage,Split,Team 1
sova,jett,killjoy,astra,breach,astra,jett,sova,killjoy,skye,Ascent,Team 2
sova,jett,raze,breach,omen,skye,raze,sova,brimstone,viper,Bind,Team 2
jett,killjoy,sova,viper,sage,viper,jett,killjoy,sage,sova,Icebox,Team 1
jett,astra,sova,skye,cypher,phoenix,astra,sova,killjoy,jett,Haven,Team 1
raze,viper,jett,sage,sova,killjoy,jett,viper,sova,sage,Icebox,Team 2
jett,sova,omen,phoenix,kayo,phoenix,jett,omen,sova,cypher,Haven,Team 2
raze,kayo,sova,viper,astra,raze,brimstone,jett,killjoy,sova,Bind,Team 1
jett,raze,viper,sova,sage,jett,viper,raze,sova,sage,Icebox,Team 2
phoenix,jett,omen,sova,killjoy,sage,sova,cypher,jett,omen,Haven,Team 1
skye,jett,viper,sova,sage,skye,sova,jett,viper,cypher,Breeze,Team 2
skye,raze,jett,brimstone,sova,skye,brimstone,jett,kayo,sova,Bind,Team 2
jett,astra,killjoy,kayo,sova,sova,jett,omen,skye,killjoy,Ascent,Team 2
skye,raze,astra,sova,sage,astra,viper,phoenix,raze,sova,Bind,Team 2
sova,jett,killjoy,astra,kayo,astra,killjoy,raze,kayo,sova,Ascent,Team 1
jett,viper,killjoy,sova,sage,jett,viper,sova,sage,killjoy,Icebox,Team 1
sova,astra,jett,killjoy,skye,omen,sova,skye,jett,killjoy,Ascent,Team 1
kayo,jett,cypher,astra,breach,raze,skye,brimstone,sage,viper,Split,Team 2
jett,sage,kayo,viper,sova,jett,viper,sage,reyna,sova,Icebox,Team 2
jett,reyna,viper,sova,sage,jett,reyna,sova,viper,sage,Icebox,Team 1
brimstone,raze,viper,skye,sage,sova,raze,astra,skye,viper,Bind,Team 1
raze,reyna,jett,yoru,phoenix,raze,jett,phoenix,reyna,yoru,Haven,Team 1
reyna,jett,omen,killjoy,sova,jett,killjoy,omen,sova,kayo,Ascent,Team 1
jett,sova,cypher,astra,breach,skye,jett,astra,sage,killjoy,Haven,Team 1
jett,killjoy,astra,sova,breach,sage,sova,killjoy,astra,jett,Ascent,Team 1
jett,reyna,omen,viper,skye,sova,kayo,killjoy,jett,astra,Ascent,Team 2
skye,raze,brimstone,viper,sova,raze,brimstone,viper,breach,skye,Bind,Team 2
viper,killjoy,jett,sage,reyna,jett,sage,sova,viper,killjoy,Icebox,Team 2
raze,jett,sage,kayo,omen,killjoy,sage,astra,omen,raze,Split,Team 1
jett,kayo,sova,cypher,omen,sova,astra,killjoy,skye,jett,Haven,Team 1
jett,astra,breach,sova,killjoy,astra,raze,killjoy,jett,sova,Ascent,Team 1
jett,breach,raze,skye,astra,astra,sova,raze,jett,killjoy,Bind,Team 1
jett,omen,sova,phoenix,cypher,astra,jett,sage,killjoy,skye,Haven,Team 1
raze,viper,astra,sage,skye,jett,raze,sage,astra,cypher,Split,Team 2
reyna,sage,viper,jett,sova,viper,jett,sage,killjoy,sova,Icebox,Team 2
omen,sova,skye,jett,cypher,astra,jett,sage,killjoy,skye,Haven,Team 1
sova,jett,viper,skye,cypher,reyna,viper,jett,sova,cypher,Breeze,Team 1
astra,killjoy,skye,raze,jett,omen,raze,cypher,kayo,sage,Split,Team 2
cypher,sage,raze,kayo,omen,jett,cypher,omen,sage,raze,Split,Team 1
killjoy,raze,jett,omen,sova,raze,reyna,phoenix,yoru,jett,Haven,Team 2
omen,jett,reyna,sova,killjoy,jett,breach,killjoy,astra,sova,Ascent,Team 1
reyna,omen,sova,jett,cypher,killjoy,omen,skye,jett,sova,Haven,Team 1
sage,killjoy,skye,astra,jett,jett,sova,breach,astra,cypher,Haven,Team 2
raze,jett,sage,killjoy,astra,cypher,astra,jett,breach,kayo,Split,Team 1
viper,raze,brimstone,sage,skye,jett,raze,astra,viper,skye,Bind,Team 1
cypher,skye,sova,omen,jett,killjoy,jett,skye,sova,omen,Haven,Team 2
sage,jett,reyna,viper,cypher,jett,raze,reyna,phoenix,yoru,Breeze,Team 2
omen,kayo,cypher,sage,sova,sova,reyna,jett,killjoy,omen,Ascent,Team 2
killjoy,yoru,jett,omen,sova,reyna,omen,sova,jett,killjoy,Ascent,Team 1
killjoy,viper,skye,sova,omen,jett,omen,reyna,skye,killjoy,Haven,Team 2
viper,sova,astra,killjoy,skye,jett,sage,sova,omen,killjoy,Ascent,Team 2
jett,raze,sova,breach,astra,sova,jett,reyna,raze,brimstone,Bind,Team 2
killjoy,skye,jett,sova,astra,sova,reyna,jett,cypher,astra,Ascent,Team 2
jett,sova,skye,cypher,astra,jett,omen,sova,cypher,phoenix,Haven,Team 1
brimstone,raze,sova,viper,skye,viper,astra,raze,sova,reyna,Bind,Team 1
jett,sova,sage,raze,viper,jett,sova,sage,killjoy,viper,Icebox,Team 1
jett,breach,sova,raze,omen,phoenix,jett,astra,cypher,sova,Haven,Team 1
skye,jett,reyna,sage,viper,viper,skye,jett,cypher,yoru,Breeze,Team 1
jett,viper,killjoy,sova,sage,sova,jett,reyna,viper,sage,Icebox,Team 1
jett,skye,sage,raze,brimstone,jett,astra,raze,breach,sova,Bind,Team 1
skye,jett,sova,sage,viper,sova,jett,skye,viper,omen,Breeze,Team 1
sova,jett,omen,cypher,phoenix,sova,cypher,sage,astra,skye,Ascent,Team 1
jett,raze,cypher,sova,brimstone,raze,jett,viper,brimstone,skye,Bind,Team 2
viper,sova,jett,sage,reyna,killjoy,sova,skye,viper,jett,Icebox,Team 1
cypher,killjoy,skye,viper,jett,sage,sova,jett,cypher,viper,Breeze,Team 2
astra,skye,jett,sova,killjoy,phoenix,jett,killjoy,sova,astra,Haven,Team 2
omen,cypher,reyna,jett,sova,phoenix,sage,sova,killjoy,astra,Ascent,Team 2
jett,omen,sage,raze,cypher,sage,raze,astra,skye,killjoy,Split,Team 2
jett,skye,killjoy,sova,astra,sova,brimstone,viper,raze,skye,Bind,Team 1
jett,killjoy,viper,sova,sage,killjoy,sova,viper,jett,sage,Icebox,Team 1
jett,astra,breach,killjoy,sage,raze,cypher,astra,sage,skye,Split,Team 1
jett,astra,sage,killjoy,sova,cypher,jett,omen,kayo,sova,Haven,Team 1
sova,brimstone,viper,raze,skye,raze,sage,brimstone,viper,skye,Bind,Team 1
reyna,viper,sova,sage,jett,reyna,sage,viper,sova,jett,Icebox,Team 2
reyna,jett,cypher,sova,astra,cypher,skye,jett,sova,omen,Haven,Team 2
killjoy,breach,raze,jett,astra,jett,raze,astra,breach,killjoy,Split,Team 2
raze,sova,skye,brimstone,viper,sova,raze,viper,astra,kayo,Bind,Team 2
astra,skye,sova,cypher,sage,omen,skye,phoenix,sova,sage,Ascent,Team 2
skye,astra,jett,viper,cypher,raze,breach,astra,sage,skye,Split,Team 1
sage,viper,cypher,jett,skye,jett,yoru,viper,cypher,sova,Breeze,Team 1
jett,astra,skye,sova,killjoy,killjoy,phoenix,jett,sova,astra,Haven,Team 1
skye,killjoy,jett,sova,omen,sova,kayo,killjoy,omen,jett,Haven,Team 2
jett,sova,sage,viper,killjoy,reyna,sova,viper,jett,sage,Icebox,Team 2
sova,reyna,viper,killjoy,omen,jett,killjoy,sova,kayo,omen,Haven,Team 1
sova,astra,killjoy,breach,raze,killjoy,sova,jett,kayo,brimstone,Bind,Team 2
astra,killjoy,sage,jett,sova,jett,sova,kayo,omen,killjoy,Ascent,Team 2
jett,viper,sage,sova,reyna,jett,reyna,sova,viper,sage,Icebox,Team 2
sage,cypher,jett,sova,omen,reyna,jett,omen,sova,killjoy,Ascent,Team 1
jett,skye,viper,cypher,sova,reyna,viper,skye,jett,cypher,Breeze,Team 2
sova,skye,raze,killjoy,brimstone,raze,sage,brimstone,jett,cypher,Bind,Team 2
raze,skye,viper,sova,brimstone,raze,astra,jett,skye,sova,Bind,Team 1
jett,viper,skye,omen,sova,skye,jett,viper,sova,sage,Breeze,Team 2
astra,jett,sage,raze,cypher,jett,omen,kayo,sage,cypher,Split,Team 2
jett,sova,viper,skye,cypher,reyna,jett,viper,sage,skye,Breeze,Team 1
reyna,omen,jett,killjoy,sova,killjoy,reyna,jett,sova,astra,Ascent,Team 1
jett,reyna,omen,sova,sage,raze,sova,sage,viper,jett,Icebox,Team 1
raze,jett,sage,omen,killjoy,jett,sage,reyna,killjoy,omen,Split,Team 1
skye,jett,sage,viper,sova,jett,sage,sova,reyna,viper,Breeze,Team 1
jett,sova,viper,brimstone,breach,viper,brimstone,sage,jett,skye,Bind,Team 1
jett,killjoy,sage,viper,sova,jett,sova,sage,killjoy,viper,Icebox,Team 2
jett,cypher,sova,skye,viper,jett,cypher,brimstone,skye,viper,Breeze,Team 2
killjoy,raze,breach,jett,omen,brimstone,reyna,raze,sage,cypher,Split,Team 2
jett,astra,sova,killjoy,breach,jett,killjoy,sova,breach,astra,Ascent,Team 1
cypher,skye,jett,sova,viper,reyna,jett,sova,viper,skye,Breeze,Team 1
sova,reyna,raze,cypher,omen,jett,sova,raze,astra,breach,Haven,Team 2
raze,reyna,omen,sova,cypher,jett,breach,raze,sova,astra,Bind,Team 2
jett,omen,sova,sage,cypher,cypher,omen,jett,phoenix,sova,Haven,Team 1
raze,jett,viper,sage,sova,jett,sova,sage,killjoy,viper,Icebox,Team 2
jett,killjoy,phoenix,omen,sova,cypher,sova,jett,kayo,omen,Ascent,Team 2
kayo,jett,sova,cypher,omen,cypher,jett,reyna,astra,sova,Haven,Team 2
sova,jett,viper,reyna,sage,sage,viper,reyna,jett,sova,Icebox,Team 1
omen,sage,sova,jett,killjoy,jett,reyna,killjoy,astra,sova,Ascent,Team 1
raze,viper,omen,cypher,sage,jett,raze,killjoy,astra,viper,Split,Team 2
sage,skye,sova,jett,viper,killjoy,yoru,jett,viper,sova,Breeze,Team 2
cypher,jett,sage,skye,omen,kayo,omen,jett,sova,cypher,Haven,Team 1
killjoy,jett,sova,sage,astra,jett,cypher,sova,raze,omen,Haven,Team 2
sova,jett,phoenix,astra,killjoy,raze,killjoy,jett,sova,astra,Ascent,Team 2
jett,sova,phoenix,astra,cypher,jett,cypher,phoenix,astra,sova,Haven,Team 1
astra,skye,raze,cypher,sova,jett,astra,raze,sova,breach,Bind,Team 2
raze,sage,brimstone,viper,skye,raze,viper,skye,kayo,brimstone,Bind,Team 2
skye,yoru,jett,sage,viper,reyna,sova,cypher,viper,skye,Breeze,Team 1
jett,sova,cypher,skye,omen,raze,kayo,cypher,omen,sova,Haven,Team 1
raze,kayo,astra,viper,sova,raze,astra,skye,sova,viper,Bind,Team 2
reyna,raze,sova,viper,astra,sova,viper,jett,brimstone,skye,Bind,Team 2
raze,jett,skye,sova,astra,raze,sova,brimstone,viper,sage,Bind,Team 1
viper,sage,jett,cypher,skye,skye,sova,reyna,jett,viper,Breeze,Team 1
sage,sova,killjoy,jett,viper,jett,viper,sova,killjoy,sage,Icebox,Team 2
raze,killjoy,sova,breach,astra,killjoy,raze,brimstone,skye,sova,Bind,Team 1
sova,sage,kayo,viper,reyna,yoru,sova,viper,cypher,jett,Breeze,Team 2
omen,reyna,cypher,raze,sage,omen,sage,raze,cypher,breach,Split,Team 1
sage,reyna,jett,sova,viper,jett,sova,reyna,viper,sage,Icebox,Team 2
jett,sova,viper,skye,cypher,viper,jett,sova,cypher,sage,Breeze,Team 2
jett,killjoy,skye,astra,sage,jett,sova,omen,breach,cypher,Haven,Team 2
killjoy,astra,viper,sage,skye,jett,cypher,sage,omen,skye,Haven,Team 1
viper,reyna,jett,sova,sage,sage,sova,jett,viper,omen,Icebox,Team 2
raze,cypher,sage,astra,skye,jett,sage,skye,omen,cypher,Split,Team 2
viper,skye,yoru,astra,sova,raze,viper,sage,astra,skye,Bind,Team 1
viper,cypher,skye,sova,jett,viper,killjoy,sova,skye,astra,Breeze,Team 1
cypher,sage,jett,astra,skye,jett,reyna,astra,skye,killjoy,Haven,Team 1
reyna,sage,sova,jett,viper,jett,killjoy,sova,sage,viper,Icebox,Team 2
cypher,omen,sage,sova,jett,jett,sage,killjoy,astra,sova,Ascent,Team 2
omen,jett,skye,breach,cypher,jett,skye,cypher,omen,sova,Haven,Team 1
jett,breach,cypher,omen,skye,killjoy,skye,jett,omen,sova,Ascent,Team 2
skye,cypher,sova,viper,jett,sova,skye,killjoy,astra,viper,Breeze,Team 1
jett,skye,breach,omen,cypher,raze,viper,sage,astra,killjoy,Split,Team 2
jett,brimstone,viper,skye,sova,raze,astra,skye,sage,viper,Bind,Team 1
jett,sova,kayo,killjoy,astra,jett,killjoy,sova,omen,reyna,Haven,Team 1
raze,sova,viper,astra,skye,jett,reyna,omen,killjoy,sova,Bind,Team 2
skye,jett,killjoy,astra,sova,killjoy,jett,sova,reyna,omen,Ascent,Team 1
sage,sova,jett,killjoy,viper,jett,viper,sova,killjoy,sage,Icebox,Team 2
sage,jett,sova,astra,cypher,jett,phoenix,cypher,sova,omen,Haven,Team 2
jett,sova,skye,raze,astra,sova,jett,killjoy,raze,astra,Bind,Team 1
jett,skye,killjoy,viper,sova,jett,reyna,skye,viper,yoru,Breeze,Team 1
jett,killjoy,reyna,sova,omen,skye,raze,jett,sova,omen,Ascent,Team 2
sova,skye,jett,viper,cypher,viper,jett,skye,yoru,cypher,Breeze,Team 2
viper,killjoy,skye,raze,astra,jett,raze,viper,astra,killjoy,Split,Team 2
jett,sova,killjoy,astra,skye,killjoy,raze,jett,astra,sova,Ascent,Team 2
viper,skye,reyna,jett,sage,sova,jett,skye,reyna,viper,Breeze,Team 1
reyna,viper,omen,sova,raze,viper,brimstone,sova,raze,skye,Bind,Team 2
sova,astra,jett,reyna,sage,sova,raze,omen,skye,killjoy,Ascent,Team 2
jett,killjoy,skye,sova,astra,omen,cypher,kayo,jett,sova,Ascent,Team 1
sova,cypher,astra,raze,skye,raze,viper,skye,sova,omen,Bind,Team 1
sage,raze,astra,cypher,kayo,sova,cypher,skye,jett,omen,Haven,Team 2
jett,raze,sage,viper,skye,jett,reyna,sova,sage,viper,Icebox,Team 2
jett,cypher,skye,viper,astra,raze,killjoy,viper,skye,astra,Split,Team 1
jett,sage,viper,skye,killjoy,sage,jett,reyna,viper,sova,Icebox,Team 2
jett,skye,killjoy,astra,sova,jett,cypher,omen,sova,skye,Haven,Team 1
reyna,astra,sova,killjoy,sage,killjoy,jett,skye,sova,astra,Ascent,Team 1
viper,reyna,jett,sova,sage,killjoy,jett,raze,viper,sova,Icebox,Team 1
sage,killjoy,viper,jett,sova,viper,jett,sage,killjoy,sova,Icebox,Team 1
skye,viper,sova,astra,killjoy,jett,viper,killjoy,cypher,skye,Breeze,Team 1
brimstone,skye,sova,viper,kayo,brimstone,skye,killjoy,raze,sova,Bind,Team 2
kayo,cypher,omen,breach,skye,jett,sage,omen,cypher,raze,Split,Team 2
brimstone,raze,cypher,sage,breach,raze,omen,sage,cypher,breach,Split,Team 2
reyna,skye,sova,viper,sage,viper,sage,jett,sova,killjoy,Icebox,Team 1
killjoy,omen,jett,sage,sova,sova,raze,killjoy,omen,sage,Ascent,Team 2
